bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,instructions__001,instructions__002,instructions__003,instructions__004,instructions__005,instructions__006,instructions__007,,,,
lower legs,band,https://v2.exercisedb.io/image/cWv0WX3KHaONyR,999,band single leg calf raise,calves,ankles,feet,Stand with your feet hip-width apart and place the band around the ball of your left foot.,Hold onto a stable object for balance if needed.,"Slowly raise your left heel off the ground, lifting your body weight onto the ball of your foot.","Pause for a moment at the top, then slowly lower your left heel back down to the starting position.","Repeat for the desired number of repetitions, then switch to the right leg.",,,,,,,
lower legs,band,https://v2.exercisedb.io/image/8AV9oiPaUwkVVj,1000,band single leg reverse calf raise,calves,hamstrings,glutes,Stand with your feet hip-width apart and place the band around the ball of your foot.,Hold onto a stable object for balance.,"Slowly raise your heel off the ground, lifting your body weight onto the ball of your foot.","Pause for a moment at the top, then slowly lower your heel back down to the starting position.","Repeat for the desired number of repetitions, then switch to the other leg.",,,,,,,
lower legs,band,https://v2.exercisedb.io/image/j1G3LZ3t5RHlOl,1369,band two legs calf raise - (band under both legs) v. 2,calves,ankles,feet,Stand with your feet shoulder-width apart and place a resistance band under both feet.,Hold the ends of the band with your hands for stability.,"Raise your heels off the ground as high as possible, using your calves.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/47sWriqQjFkP9h,1370,barbell floor calf raise,calves,hamstrings,,Place a barbell on the floor in front of you.,"Stand with the balls of your feet on the edge of the barbell, with your heels hanging off.",Hold onto a stable object for balance if needed.,"Raise your heels as high as possible, using your calves to lift your body.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/aURiwCgHDXguEI,88,barbell seated calf raise,calves,hamstrings,quadriceps,Sit on a bench with your feet flat on the floor and a barbell resting on your thighs.,"Place the balls of your feet on a raised platform, such as a block or step.",Position the barbell across your thighs and hold it securely with your hands.,"Keeping your back straight and your core engaged, lift your heels off the ground by extending your ankles.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/x2KHUPBr-Wb-wf,1371,barbell seated calf raise,calves,hamstrings,,Sit on a bench with your feet flat on the floor and a barbell resting on your thighs.,"Place the balls of your feet on a raised platform, such as a block or step.","Lower your heels as far as possible, feeling a stretch in your calves.","Raise your heels as high as possible, contracting your calves.",Repeat for the desired number of repetitions.,,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/qqzCsUXNbs1iFm,1372,barbell standing calf raise,calves,hamstrings,glutes,Stand with your feet shoulder-width apart and place a barbell across your upper back.,"Raise your heels off the ground as high as possible, using only your toes.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/WBfHZ1FO3bKO-i,108,barbell standing leg calf raise,calves,hamstrings,glutes,Stand with your feet shoulder-width apart and place a barbell across your upper back.,"Raise your heels off the ground as high as possible, using your calves.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,
waist,body weight,https://v2.exercisedb.io/image/3WCa4lptD0wqN3,1,3/4 sit-up,abs,hip flexors,lower back,,,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,
waist,body weight,https://v2.exercisedb.io/image/dauHmeWvC8r1yL,2,45° side bend,abs,obliques,,,,Stand with your feet shoulder-width apart and your arms extended straight down by your sides.,"Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.","Pause for a moment at the bottom, then slowly return to the starting position.",Repeat on the other side.,Continue alternating sides for the desired number of repetitions.,,,,,
waist,body weight,https://v2.exercisedb.io/image/wcKsyfuZbgMwbr,3,air bike,abs,hip flexors,,,,Lie flat on your back with your hands placed behind your head.,Lift your legs off the ground and bend your knees at a 90-degree angle.,Bring your right elbow towards your left knee while simultaneously straightening your right leg.,"Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.",Continue alternating sides in a pedaling motion for the desired number of repetitions.,,,,,
waist,body weight,https://v2.exercisedb.io/image/x-gUKVWNh2K0Wr,2355,arm slingers hanging bent knee legs,abs,shoulders,back,,,Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle.,"Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible.",Slowly lower your legs back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,
waist,body weight,https://v2.exercisedb.io/image/LIw54jOXSO3enT,2333,arm slingers hanging straight legs,abs,shoulders,back,,,Hang from a pull-up bar with your arms fully extended and your legs straight down.,Engage your core and lift your legs up in front of you until they are parallel to the ground.,"Hold for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,
waist,assisted,https://v2.exercisedb.io/image/QbpOjpXwJezisQ,12,assisted lying leg raise with lateral throw down,abs,hip flexors,obliques,,,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your abs and lift your legs off the ground, keeping them straight.","While keeping your legs together, lower them to one side until they are a few inches above the ground.","Pause for a moment, then lift your legs back to the starting position.",Repeat the movement to the other side.,Continue alternating sides for the desired number of repetitions.,,,
waist,assisted,https://v2.exercisedb.io/image/XkHmk1jINvxhYO,13,assisted lying leg raise with throw down,abs,hip flexors,quadriceps,,,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your core and lift your legs off the ground, keeping them straight.",Raise your legs until they are perpendicular to the ground.,Lower your legs back down to the starting position.,"Simultaneously, throw your legs down towards the ground, keeping them straight.",Raise your legs back up to the starting position.,Repeat for the desired number of repetitions.,,
waist,medicine ball,https://v2.exercisedb.io/image/rUwugwnwirIXPH,14,assisted motion russian twist,abs,obliques,lower back,,,Sit on the ground with your knees bent and feet flat on the floor.,Hold the medicine ball with both hands in front of your chest.,"Lean back slightly, engaging your abs and keeping your back straight.","Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.","Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.",Continue alternating sides for the desired number of repetitions.,,,,
waist,body weight,https://v2.exercisedb.io/image/HO3iLWT30oRNGz,3204,arms overhead full sit-up (male),abs,hip flexors,lower back,,,Lie flat on your back with your knees bent and feet flat on the ground.,"Extend your arms overhead, keeping them straight.","Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,
waist,assisted,https://v2.exercisedb.io/image/HJs8SgS1KO52N0,1758,assisted sit-up,abs,hip flexors,,,,Sit on the edge of a bench or have someone hold your feet down.,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,
upper legs,barbell,https://v2.exercisedb.io/image/H9oRkqvjX-aFbl,24,barbell bench front squat,quads,hamstrings,glutes,calves,,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone.","Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground.","Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up.","Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/NbvALjwvSRFLf-,1710,assisted lying gluteus and piriformis stretch,glutes,hamstrings,,,,Lie on your back with your legs extended.,"Bend your right knee and place your right ankle on your left thigh, just above the knee.",Grasp your left thigh with both hands and gently pull it towards your chest.,Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other side.,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/O2RJl3pVlIBwTF,1512,all fours squad stretch,quads,hamstrings,glutes,,,Start on all fours with your hands directly under your shoulders and your knees directly under your hips.,"Extend one leg straight back, keeping your knee bent and your foot flexed.","Slowly lower your hips towards the ground, feeling a stretch in your quads.",Hold this position for 20-30 seconds.,Switch legs and repeat the stretch on the other side.,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/LhH2CRXJ2RGlRl,3214,arms apart circular toe touch (male),glutes,hamstrings,quadriceps,calves,,Stand with your feet shoulder-width apart and arms extended to the sides.,"Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand.","As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance.",Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you.,Continue alternating sides for the desired number of repetitions.,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/mhZP-qpVIg5t8m,16,assisted prone hamstring,hamstrings,glutes,lower back,,,Lie face down on a mat or bench with your legs fully extended.,Have a partner or use a resistance band to secure your ankles.,"Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,
upper legs,assisted,https://v2.exercisedb.io/image/P1xbZJJNcka02k,1713,assisted prone lying quads stretch,quads,hamstrings,glutes,,,Lie face down on the ground with your legs extended.,Bend your left knee and reach back with your left hand to grab your left foot or ankle.,"Gently pull your left foot towards your glutes, feeling a stretch in your left quad.","Hold the stretch for 20-30 seconds, then release.",Repeat with your right leg.,,,,,
upper legs,body weight,https://v2.exercisedb.io/image/QUOk0Z8wwLIj1O,1473,backward jump,quads,hamstrings,glutes,calves,,Stand with your feet shoulder-width apart.,"Bend your knees slightly and jump backwards, pushing off with both feet.","Land softly on the balls of your feet, bending your knees to absorb the impact.",Repeat for the desired number of repetitions.,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/8isWY3SZLDmdV-,26,barbell bench squat,quads,glutes,hamstrings,calves,,Set up a barbell on a squat rack at chest height.,"Stand facing away from the rack, with your feet shoulder-width apart.","Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.","Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.","Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart.","Lower your body down into a squat, keeping your knees in line with your toes.","Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,
upper legs,band,https://v2.exercisedb.io/image/qIGYu-AcqJM1tr,980,band bent-over hip extension,glutes,hamstrings,lower back,,,Attach the band to a sturdy anchor point at ankle height.,Stand facing away from the anchor point with your feet shoulder-width apart.,"Step back to create tension in the band, keeping your knees slightly bent.","Hinge at the hips and lean forward, maintaining a neutral spine.","Extend your right leg straight back, squeezing your glutes at the top.",Lower your right leg back down and repeat with the left leg.,Continue alternating legs for the desired number of repetitions.,,,
upper legs,assisted,https://v2.exercisedb.io/image/8XJfsFOjLU05FX,1712,assisted side lying adductor stretch,adductors,hamstrings,glutes,,,Lie on your side with your legs straight and stacked on top of each other.,Bend your bottom leg slightly for stability.,"Place your top foot on a stable surface, such as a bench or step.","Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh.",Hold the stretch for 20-30 seconds.,Return to the starting position and repeat on the other side.,,,,
upper legs,band,https://v2.exercisedb.io/image/j5RXc7MkGzJWa6,1408,band hip lift,glutes,hamstrings,quadriceps,,,Lie on your back with your knees bent and feet flat on the ground.,Place a resistance band just above your knees.,Engage your glutes and core muscles.,"Press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,
upper legs,band,https://v2.exercisedb.io/image/RIKL5knRvsswRm,984,band lying hip internal rotation,glutes,hamstrings,quadriceps,,,Lie on your back with your legs straight and a resistance band looped around your feet.,"Bend your knees and bring them towards your chest, keeping your feet together.","Slowly rotate your knees outwards, away from each other, while keeping your feet together.","Pause for a moment at the end of the rotation, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,
upper legs,band,https://v2.exercisedb.io/image/fUZBels-Cy-7Yz,987,band one arm single leg split squat,quads,glutes,hamstrings,,,Stand with your feet hip-width apart and place a resistance band around your ankles.,Extend one leg forward and rest the top of your foot on a bench or step behind you.,Hold onto a support with one hand for balance.,"Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes.",Push through your heel to return to the starting position.,"Repeat for the desired number of repetitions, then switch legs.",,,,
upper legs,band,https://v2.exercisedb.io/image/dm9F9rzV-chC5o,1001,band single leg split squat,quads,glutes,hamstrings,,,Stand with your feet hip-width apart and place a resistance band around your ankles.,Take a big step forward with your right foot and a smaller step back with your left foot.,"Bend your knees and lower your body until your right thigh is parallel to the ground, keeping your left knee slightly above the ground.",Push through your right heel to return to the starting position.,Repeat on the other side.,,,,,
upper legs,band,https://v2.exercisedb.io/image/mp0QSxwoTeVIok,1004,band squat,glutes,quadriceps,hamstrings,calves,,"Stand with your feet shoulder-width apart, with the band placed just above your knees.","Keeping your chest up and core engaged, push your hips back and bend your knees to lower into a squat position.",Make sure your knees are tracking over your toes and your weight is in your heels.,"Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,,,,
upper legs,band,https://v2.exercisedb.io/image/v0JD1-Cq43xUZo,1003,band squat row,glutes,hamstrings,quadriceps,back,,Attach the band to a sturdy anchor point at waist height.,Stand facing the anchor point with your feet shoulder-width apart.,Hold the band handles with your palms facing each other and your arms extended in front of you.,"Bend your knees and lower into a squat position, keeping your back straight and chest lifted.","From the squat position, pull the band handles towards your body, squeezing your shoulder blades together.","Pause for a moment at the top, then slowly release the tension and return to the starting position.",Repeat for the desired number of repetitions.,,,
upper legs,band,https://v2.exercisedb.io/image/qiquX24Idt-4Gj,1008,band step-up,glutes,quadriceps,hamstrings,calves,,"Place a band around your thighs, just above your knees.",Stand facing a step or platform with your feet hip-width apart.,"Step up onto the platform with your right foot, pushing through your heel.","Extend your left leg behind you, keeping it straight.",Lower your left foot back down to the ground.,Repeat with your left foot stepping up onto the platform.,Continue alternating legs for the desired number of repetitions.,,,
upper legs,band,https://v2.exercisedb.io/image/LfEsEL3hsGHV-G,1009,band stiff leg deadlift,glutes,hamstrings,lower back,,,Stand with your feet shoulder-width apart and place the band around your ankles.,"Hold the band with both hands in front of your thighs, palms facing your body.","Keeping your back straight and your core engaged, hinge at the hips and slowly lower your upper body towards the ground.","As you lower, push your hips back and allow your knees to bend slightly.","Lower the band towards the ground, feeling a stretch in your hamstrings.","Pause for a moment at the bottom, then engage your glutes and hamstrings to lift your upper body back up to the starting position.",Repeat for the desired number of repetitions.,,,
upper legs,band,https://v2.exercisedb.io/image/xhpoH6lZRbCR3V,1023,band straight back stiff leg deadlift,glutes,hamstrings,lower back,,,Stand with your feet shoulder-width apart and place the band around your upper legs.,"Hold the band with both hands in front of your thighs, palms facing your body.","Keeping your back straight and your knees slightly bent, hinge at the hips and lower the band towards the ground.",Feel the stretch in your hamstrings as you lower the band.,Engage your glutes and hamstrings to lift your body back up to the starting position.,Repeat for the desired number of repetitions.,,,,
